,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
90,1997,5.0,Miami Heat,61.0,21.0,5.49,106.8,100.6,6.2,0.324,0.299,0.546,0.507,15.5,29.2,70.6,0.233,0,3
91,1997,6.0,Detroit Pistons,54.0,28.0,5.24,110.6,104.4,6.2,0.327,0.246,0.554,0.512,13.0,27.5,70.4,0.244,0,1
92,1997,7.0,Houston Rockets,57.0,25.0,4.48,108.8,104.0,4.8,0.307,0.284,0.56,0.52,15.6,28.4,71.4,0.232,0,3
93,1997,8.0,Los Angeles Lakers,56.0,26.0,4.27,108.3,103.7,4.6,0.351,0.226,0.535,0.496,13.7,31.6,68.5,0.243,0,2
94,1997,9.0,Portland Trail Blazers,49.0,33.0,4.17,107.9,103.3,4.6,0.35,0.217,0.544,0.503,15.4,32.5,72.4,0.249,0,0
95,1997,10.0,New York Knicks,57.0,25.0,3.12,104.4,101.0,3.4,0.34,0.208,0.546,0.501,17.0,30.5,73.4,0.255,0,2
96,1997,11.0,Cleveland Cavaliers,42.0,40.0,1.84,104.6,102.4,2.2,0.297,0.215,0.531,0.493,15.0,29.4,71.9,0.215,0,0
97,1997,12.0,Charlotte Hornets,54.0,28.0,1.87,110.9,108.9,2.0,0.313,0.218,0.562,0.518,14.3,28.7,68.1,0.243,0,1
98,1997,13.0,Washington Bullets,44.0,38.0,1.62,106.6,104.9,1.7,0.296,0.15,0.54,0.505,14.6,30.2,70.3,0.21,0,0
99,1997,14.0,Indiana Pacers,39.0,43.0,0.98,105.8,104.7,1.1,0.374,0.181,0.537,0.49,15.5,31.3,70.4,0.27,0,0
100,1997,15.0,Phoenix Suns,40.0,42.0,0.66,109.3,108.6,0.7,0.317,0.213,0.552,0.508,13.4,27.1,69.4,0.241,0,1
101,1997,16.0,Orlando Magic,45.0,37.0,-0.35,105.6,106.0,-0.4,0.304,0.256,0.524,0.481,14.5,30.9,67.3,0.227,0,1
102,1997,17.0,Minnesota Timberwolves,40.0,42.0,-1.48,105.5,107.1,-1.6,0.339,0.17,0.533,0.485,14.4,28.8,68.3,0.254,0,1
103,1997,18.0,Milwaukee Bucks,33.0,49.0,-1.89,106.2,108.3,-2.1,0.334,0.146,0.541,0.496,15.1,29.7,69.9,0.248,0,0
104,1997,19.0,Los Angeles Clippers,36.0,46.0,-2.35,105.1,107.6,-2.5,0.31,0.2,0.524,0.482,14.7,30.8,68.1,0.227,0,1
105,1997,20.0,Toronto Raptors,30.0,52.0,-3.12,104.6,108.0,-3.4,0.303,0.245,0.521,0.481,15.2,32.5,68.6,0.218,0,0
106,1997,21.0,Sacramento Kings,34.0,48.0,-3.38,105.0,108.7,-3.7,0.313,0.16,0.526,0.485,15.0,32.0,68.5,0.226,0,0
107,1997,22.0,New Jersey Nets,26.0,56.0,-4.56,104.7,109.7,-5.0,0.286,0.193,0.499,0.456,13.9,36.4,69.0,0.212,0,0
108,1997,23.0,Golden State Warriors,30.0,52.0,-4.71,107.2,112.2,-5.0,0.332,0.208,0.543,0.493,15.8,32.3,67.5,0.258,0,0
109,1997,24.0,Denver Nuggets,21.0,61.0,-6.28,104.5,111.2,-6.7,0.298,0.256,0.53,0.486,15.2,28.8,69.3,0.227,0,0
110,1997,25.0,Philadelphia 76ers,22.0,60.0,-6.54,104.6,111.4,-6.8,0.358,0.198,0.518,0.47,15.3,34.1,66.5,0.259,0,0
111,1997,26.0,Dallas Mavericks,24.0,58.0,-6.35,101.1,108.2,-7.1,0.297,0.204,0.509,0.469,15.4,30.0,67.3,0.213,0,0
112,1997,27.0,Boston Celtics,15.0,67.0,-7.33,103.9,111.4,-7.5,0.316,0.191,0.52,0.474,14.5,29.4,68.5,0.237,0,0
113,1997,28.0,San Antonio Spurs,20.0,62.0,-7.88,103.3,112.3,-9.0,0.302,0.185,0.512,0.472,14.7,32.4,67.0,0.217,0,0
